BANG!!!!!
AND THEY'RE OFF !!!!!
 H   T
  H     T
   H     T
 H          T
 H             T
 H                T
 H          T
 H           T
 H     T
 H      T
 H       T
  T        H
     T     H
        T  H
        H   T
         H     T
        T  H
        H   T
     T    H
 H     T
  H       T
  H          T
   H          T
 H             T
  H             T
  H              T
           H        T
         H             T
         H              T
         H               T
          H               T
                   OUCH!!!
             T      H
                T    H
                   T          H
             T                         H
       T                   H
        T                   H
  T                          H
 T               H
  T               H
     T          H
        T       H
           T             H
              T        H
        T              H
  T                  H
 T                   H
    T              H
      H T
 OUCH!!!
 H   T
  H   T
   H     T
  T H
   T H
 T    H
 T             H
    T           H
 T            H
    T       H
 H      T
 H       T
         T H
 H         T
 H            T
 H               T
 H                T
 H                 T
 H                  T
 H                     T
 H                      T
          H              T
          H                 T
        H                    T
        H                       T
        H                          T
         H                            T
          H                            T
           H                            T
           H                               T
            H                               T
             H                                 T
             H                                    T
 H                                                   T
 H                                                      T
          H                                                T
           H                                                T
           H                                                   T
 H                                                                T
 H                                                          T
          H                                                  T
           H                                           T
                    H                                     T
                             H                               T
                           H                                  T
                                    H                   T
                                     H            T
                                      H            T
                                               H      T
                                             H           T
                                                      H   T
                                                       H     T
                                                     H          T
                                                   H             T
                                                            H     T
                                                H                    T
                                                 H                      T
TORTOISE WINS!!! YAY!!!
